Test Suite,Description,Object,Action ,DataColumn,WaitAfter
customerOrderAdd,click the freight menu,"//*[@id=""__next""]/div/div/div/header/div/div[1]/div/div[3]/ul/li/div/span",stpClick,,
customerOrderAdd,click the OrderDetails,"//*[@id=""root""]/div/div/ul",stpClick,,
customerOrderAdd,click the add button,,clickElement,clickAdd,
customerOrderAdd,shipment date,"//*[@id=""CustomerOrder_shipmentDate""]",click,,
customerOrderAdd,click the today,"//a[contains(text(),'Today')]",click,,
customerOrderAdd,input the address,"//*[@id=""CustomerOrder_arrivalAddress""]",input,Address,
customerOrderAdd,input the country,"//*[@id=""CustomerOrder_destinationCountry""]",input,Country,
customerOrderAdd,input delivery address,"//*[@id=""CustomerOrder_deliveryAddress""]",input,Daddress,
customerOrderAdd,click the add item,,clickElement,clickAddItem,
customerOrderAdd,input custermer oder,"//*[@id=""CustomerOrder_skuList_0_ItemName""]",input,Item name,
customerOrderAdd,click the selector,"//*[@id=""CustomerOrder""]/div[5]/div[1]/div[2]/div/div/div/div/div/div/div",click,,
customerOrderAdd,select the box,"//div[contains(text(),'BOX')]",click,,
customerOrderAdd,input width,"//*[@id=""CustomerOrder_skuList_0_width""]",input,width,
customerOrderAdd,input height,"//*[@id=""CustomerOrder_skuList_0_height""]",input,height,
customerOrderAdd,input leanth,"//*[@id=""CustomerOrder_skuList_0_length""]",input,length,
customerOrderAdd,item weight,"//*[@id=""CustomerOrder_skuList_0_weight""]",input,weight,
customerOrderAdd,item quentity,"//*[@id=""CustomerOrder_skuList_0_quantity""]",input,quantity,
customerOrderAdd,item value,"//*[@id=""CustomerOrder_skuList_0_value""]",input,value,
customerOrderAdd,click add button,"//*[@type=""submit""]",click,,4
customerOrderAdd,verify the success mag,"//div[contains(text(),'Added Successfully')]",verifyText,verifySuccessMsg,
